"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?","Year"
2017-04-08 06:44:01,"1",6,"September",28,"99",45,"99",99,"NEST+m, TAG, Anderson, Q300","NEST","YES","2017-18"
2017-04-07 10:40:45,"K",NA,"August",25,"99",39,"99",99,"Anderson, NEST+m",NA,"Maybe","2017-18"
2017-04-07 10:41:56,"1",NA,"March",27,"96",42,"99",98,NA,NA,"Maybe","2017-18"
2017-04-07 10:43:31,"K",NA,"September",23,"97",40,"99",98,NA,NA,NA,"2017-18"
2017-04-10 10:18:34,"K",22,"April",2,"98",38,"99",99,"Brooklyn School of Inquiry","Currently - local Brooklyn dual language","Maybe","2017-18"
2017-04-07 11:03:21,"K",NA,"May",24,"97",36,"98",0,NA,NA,NA,"2017-18"
2017-04-07 11:15:28,"K",NA,"February",26,"99",42,"99",99,"Anderson NEST TAG Q300",NA,NA,"2017-18"
2017-04-07 11:26:16,"K",NA,"October",24,"99",42,"NA",99,"Nest+M, Anderson",NA,"Yes","2017-18"
2017-04-07,"first",NA,"March",23,"81",42,"99",95,NA,NA,NA,"2017-18"
2017-04-07 11:32:52,"2",NA,"April",29,"99",44,"0.99",99,"Any citywide or district 3 school",NA,"Yes","2017-18"
2017-04-07 11:57:06,"K",NA,"June",17,"77",39,"99",94,NA,NA,"Maybe","2017-18"
2017-04-07 12:03:49,"K",NA,"December",23,"98",45,"99",99,NA,NA,NA,"2017-18"
2017-04-07 12:36:07,"1",NA,"July",24,"86",39,"98",94,NA,NA,NA,"2017-18"
2017-04-07 12:42:05,"1",NA,"May",0.97,"99",48,"99",99,NA,NA,NA,"2017-18"
2017-04-07 13:00:25,"1",NA,"January",28,"96",43,"NA",98,NA,NA,NA,"2017-18"
2017-04-07 13:16:38,"K",NA,"January",26,"99",40,"99",99,NA,NA,NA,"2017-18"
2017-04-07 14:50:06,"1",NA,"January",26,"89",46,"99",96,NA,NA,NA,"2017-18"
2017-04-07 16:19:39,"1",NA,"June",25,"89",41,"99",96,NA,NA,NA,"2017-18"
2017-04-08 08:20:44,"K",11,"December",21,"96",43,"99",98,"PS121",NA,"Yes","2017-18"
2017-04-08 08:33:07,"K",3,"8",25,"99",85,"99",99,"Anderson, NEST+m",NA,"Maybe","2017-18"
2017-04-08 08:44:05,"kindergarten",26,"May",28,"99",46,"99",99,"Anderson","PS 203","Maybe","2017-18"
2017-04-08 08:54:04,"K",28,"July",28,"99",38,"99",99,NA,NA,NA,"2017-18"
2017-04-08 09:26:30,"2",2,"February",28,"97",44,"99",98,NA,NA,NA,"2017-18"
2017-04-08 09:41:44,"1",3,"11",28,"99",41,"99",99,"Anderson, NEST+M, Lower Lab",NA,"Yes","2017-18"
2017-04-08 09:56:57,"1",1,"January",3,"89",42,"9",96,NA,NA,NA,"2017-18"
2017-04-08 12:34:56,"2",26,"January",28,"97",43,"99",98,"PS Q203","PS Q203","Yes","2017-18"
2017-04-08 16:31:36,"1",2,"March",28,"99",45,"99",99,NA,NA,"Maybe","2017-18"
2017-04-08 19:17:06,"second",2,"11",28,"99",47,"99",99,"Anderson",NA,"Yes","2017-18"
2017-04-08 19:56:05,"1",15,"January",26,"89",46,"99",96,"Likely staying in zoned schools; D15 G&T options are limited.",NA,NA,"2017-18"
2017-04-08 22:08:30,"K",25,"February",27,"99",46,"99",99,"TBD",NA,"Yes","2017-18"
2017-04-09 00:11:05,"K",14,"May",27,"99",45,"99",99,"Nest",NA,"Maybe","2017-18"
2017-04-10 08:30:29,"K",11,"March",32,"97",40,"99",98,"Tag","175","Maybe","2017-18"
2017-04-10 09:35:21,"K",20,"May",19,"87",40,"99",96,"PS229",NA,"No","2017-18"
2017-04-10 10:04:50,"kinder",25,"May",24,"97",36,"98",98,"Anderson","PS 32 Q","Yes","2017-18"
2017-04-10 13:25:42,"K",28,"August",13,"55",27,"90",76,NA,NA,NA,"2017-18"
2017-04-10 20:09:49,"K",3,"8",29,"99",37,"99",99,"Anderson",NA,"Yes","2017-18"
2017-04-11 20:01:30,"K",2,"July",18,"83",38,"99",95,NA,NA,"Maybe","2017-18"
2017-04-11 22:32:23,"K",3,"December",23,"98",40,"99",99,"Anderson, Tag Young, Nest+M",NA,"Yes","2017-18"
2017-04-12 12:40:43,"K",28,"November",18,"88",45,"9",96,"TBD",NA,"Maybe","2017-18"
2017-04-12 23:47:39,"K",26,"July",22,"86",41,"99",96,NA,NA,"Yes","2017-18"
2017-04-13 13:10:00,"K",3,"April",23,"96",39,"99",98,NA,NA,NA,"2017-18"
2017-04-13 14:05:27,"K",32,"March",17,"79",36,"99",94,NA,NA,NA,"2017-18"
2017-04-13 14:33:37,"1",2,"January",24,"86",42,"99",0,NA,NA,"Yes","2017-18"
2017-04-13 15:20:13,"K",2,"October",26,"99",35,"99",99,NA,NA,NA,"2017-18"
2017-04-13 16:21:18,"K",32,"February",26,"99",40,"99",99,"Nest","n/a","No","2017-18"
2017-04-16 23:39:12,"1",3,"December",27,"99",43,"99",99,"Any city-wide",NA,"Yes","2017-18"
1899-12-31,"1",2,"January",28,"96",46,"99",98,NA,NA,NA,"2017-18"
2017-04-17 11:08:35,"K",26,"March",24,"96",44,"99",98,"PS188",NA,"Yes","2017-18"
2017-04-17 16:14:41,"1",21,"December",29,"99",45,"99",99,"BSI",NA,NA,"2017-18"
2017-04-17 22:12:28,"K",2,"September",28,"99",42,"99",99,NA,NA,NA,"2017-18"
2017-04-18 11:09:44,"1",2,"March",29,"99",44,"99",99,NA,"Anderson","No","2017-18"
2017-04-19 23:39:34,"K",24,"February",20,"87",33,"93",90,NA,NA,"Maybe","2017-18"
2017-04-20 15:10:19,"2",15,"December",28,"99",88,"99",99,"NEST+M",NA,NA,"2017-18"
2017-04-20 20:32:27,"K",21,"March",25,"98",40,"99",99,"Nest+m, BSI",NA,"Maybe","2017-18"
2017-04-21 11:40:53,"K",26,"January",24,"99",45,"99",98,NA,NA,NA,"2017-18"
2017-04-21 17:31:21,"K",3,"April",24,"97",40,"99",99,NA,NA,NA,"2017-18"
2017-04-24 10:18:34,"K",2,"July",24,"97",34,"98",98,"NEST, LL, Anderson, TAG, 130,11,124,33",NA,NA,"2017-18"
2017-04-24 11:38:20,"K",28,"2",23,"95",37,"98",97,"Nest+m, PS144, PS174",NA,"Yes","2017-18"
2017-04-24 18:23:22,"K",28,"July",27,"99",38,"99",99,NA,NA,NA,"2017-18"
2017-04-24 18:23:48,"K",17,"October",22,"96",34,"99",98,NA,NA,NA,"2017-18"
2017-04-24 20:56:49,"K",2,"May",25,"99",36,"98",99,"Anderson, NEST, PS 77, TAG","PS 158","Yes","2017-18"
2017-04-25 09:44:43,"K",3,"March",26,"99",45,"99",99,"Anderson",NA,"Yes","2017-18"
2017-04-25 10:14:23,"1",2,"January",26,"97",39,"99",0,"na",NA,"No","2017-18"
2017-04-25 10:25:19,"K",2,"March",28,"99",43,"99",99,"Anderson, NEST, TAG, PS77, PS33, PS11",NA,"Yes","2017-18"
2017-04-25 10:59:38,"1",26,"April",23,"81",45,"99",95,"p.s.203q","none","Yes","2017-18"
2017-04-25 11:12:19,"1",28,"May",29,"99",48,"99",99,"Q300",NA,"Yes","2017-18"
2017-04-25 13:47:57,"2",30,"July",29,"99",40,"99",99,"NEST, Anderson, 30th Av",NA,"Maybe","2017-18"
2017-04-25 14:00:06,"K",2,"January",24,"96",40,"99",98,NA,NA,NA,"2017-18"
1899-12-31,"K",2,"September",99,"99",99,"99",99,NA,NA,NA,"2017-18"
2017-04-26 13:16:22,"K",2,"January",25,"98",41,"99",99,"Anderson,NEST+m,LL,PS11",NA,NA,"2017-18"
2017-04-26 14:44:10,"K",31,"January",19,"81",38,"99",95,"PS50,PS229,PS205,PS53",NA,"Yes","2017-18"
2017-04-26 17:16:18,"1",2,"May",29,"99",44,"99",99,"Anderson, Nest, Tag, LL",NA,"Maybe","2017-18"
2017-04-26 23:34:58,"3",30,"October",90,"90",90,"90",90,NA,NA,NA,"2017-18"
2017-04-27 11:28:40,"K",2,"November",20,"90",39,"99",96,"PS11",NA,"Maybe","2017-18"
2017-04-28 08:37:25,"K",2,"March",21,"90",39,"99",96,"LL, 198, 11, 130, 217, 124, 33",NA,NA,"2017-18"
2017-04-28 11:41:59,"2",2,"November",28,"99",47,"99",99,"Anderson, nestM, lower lab",NA,NA,"2017-18"
2017-04-29 21:58:21,"3",3,"March",30,"99",39,"99",99,NA,NA,NA,"2017-18"
2017-05-03 10:40:02,"K",20,"December",23,"98",37,"99",99,"nest+m, BSI, Anderson, Q300",NA,NA,"2017-18"
2017-05-03 10:41:51,"K",20,"December",23,"98",37,"99",99,"nest, bsi, anderson",NA,NA,"2017-18"
2017-05-03 17:06:18,"1",17,"February",21,"69",42,"99",92,"316, 38,",NA,"Maybe","2017-18"
2017-05-04 10:16:30,"K",20,"January",24,"96",39,"99",98,"BSI",NA,"Yes","2017-18"
2017-05-05 21:41:31,"K",28,"May",35,"94",40,"98",96,"144, 174",NA,NA,"2017-18"
2017-05-05 21:44:21,"K",28,"March",22,"94",40,"98",96,NA,NA,NA,"2017-18"
2017-05-07 18:56:39,"1",1,"October",28,"99",41,"99",99,"Nest, Anderson",NA,"Yes","2017-18"
2017-05-09 03:30:26,"2",2,"May",28,"98",37,"95",97,"Anderson (Sibling)",NA,"Yes","2017-18"
2017-05-10 20:31:46,"K",2,"July",19,"87",41,"99",96,"11,198,33",NA,"Yes","2017-18"
2017-05-15 15:33:17,"1",21,"November",29,"99",44,"99",99,"Bsi",NA,NA,"2017-18"
2017-05-16 10:18:35,"K",28,"December",26,"99",46,"99",99,"NEST/Anderson/Q300",NA,NA,"2017-18"
2017-05-24 13:37:41,"K",30,"February",23,"95",40,"99",98,"300, 217, 122, 166",NA,"Yes","2017-18"
2017-05-24 14:32:37,"K",26,"February",25,"98",41,"99",99,"Nest, Q300, PS188, PS203",NA,NA,"2017-18"
2017-05-31 23:19:23,"K",20,"February",30,"99",42,"99",99,"Bsi",NA,NA,"2017-18"
2017-06-01 15:45:11,"K",2,"May",25,"99",36,"98",99,"Anderson, NEST, Lower Lab, TAG","TAG","Yes","2017-18"
2017-06-01 17:24:36,"K",22,"April",25,"98",38,"99",99,"Brooklyn School of Inquiry","Brooklyn School of Inquiry","Yes","2017-18"
2017-06-01 17:27:50,"K",3,"January",23,"93",38,"99",97,"539, 334, 166, 77, 11, 163, 12","163","Maybe","2017-18"
2017-06-01 18:06:00,"K",2,"July",83,"83",99,"99",95,"LL, PS11, PS33","none",NA,"2017-18"
2017-06-01 18:19:31,"K",14,"May",26,"99",44,"99",99,"NEST","NEST","Yes","2017-18"
2017-06-01 19:10:52,"2",3,"April",29,"99",44,"99",99,"Anderson, Nest, Tag, BSI, Q300, PS166, PS163","PS 163","Maybe","2017-18"
2017-06-01 19:34:07,"1",3,"December",27,"99",43,"99",99,"All CW","Q300","Yes","2017-18"
2017-06-01 20:46:58,"K",2,"April",29,"99",42,"99",99,"Anderson, Nest+M, Lower Lab, BSI, 33,11,111","Lower Lab","Yes","2017-18"
2017-06-01 23:31:05,"K",2,"January",28,"NA",41,"NA",99,"Anderson, NEST+T, Lower Lab, TAG","Anderson","Yes","2017-18"
2017-06-02 13:20:23,"K",3,"April",23,"96",39,"99",98,NA,"PS166","Yes","2017-18"
2017-06-04 06:36:43,"K",2,"April",27,"99",37,"99",99,"NEST/PS33","NEST","Yes","2017-18"
2017-06-06 17:11:07,"K",2,"April",25,"NA",39,"99",99,"LL, Anderson, Nest+m, 198","Lower Lab","Yes","2017-18"
2017-06-06 23:23:20,"K",26,"January",24,"96",45,"99",98,NA,NA,"Maybe","2017-18"
2017-06-07 23:25:27,"K",2,"December",99,"99",99,"99",99,NA,NA,"Yes","2017-18"
1899-12-31,"1",2,"August",30,"99",44,"99",99,"Lower Lab, Anderson, PS 11, NEST + m, Ps 33","Lower lab (off waitlist)","Yes","2017-18"
2017-06-21 22:52:59,"K",20,"July",97,"97",97,"99",98,"PS229","Ps205","Yes","2017-18"
2017-09-14 16:39:55,"K",32,"February",26,"99",40,"99",99,NA,NA,"Maybe","2017-18"
2017-11-19 17:07:05,"K",4,"April",19,"84",33,"95",91,"Ps 102","Ps102","Yes","2017-18"
2019-01-11 15:03:41,"K",2,"January",24,"97",44,"99",98,"Ps11","Ps33","Yes","2017-18"
2017-03-27,"1",13,"August",30,"99",46,"99",99,"Anderson?",NA,"at LL now, has a sib ent K w/ 99","2018-19"
2018-03-27,"1",1,"March",26,"99",47,"99",99,"1111",NA,NA,"2018-19"
2018-03-27,"1",2,"February",26,"99",47,"99",99,NA,NA,NA,"2018-19"
2018-03-27,"1",2,"January",25,"99",45,"99",99,"NEST+M",NA,"Yes","2018-19"
2018-03-27,"first",3,"January",28,"98",45,"0",99,"NEST,Anderson,TAG,Q300,BSI","TAG",NA,"2018-19"
2018-03-27,"1",2,"January",27,"99",43,"99",99,NA,NA,NA,"2018-19"
2018-03-27,"1",2,"July",25,"99",42,"99",99,"Anderson, TAG, Nest",NA,NA,"2018-19"
2018-03-27,"1",2,"11",25,"99",40,"99",99,"NEST, TAG, LL, PS11, PS130, PS33","TAG","Yes","2018-19"
2018-03-27,"1",2,"August",23,"98",39,"99",99,"Lower Lab / Anderson",NA,"LL sib, sib retook & got 99 too - unsure how we'll rank","2018-19"
2018-03-27,"1",2,"April",25,"99",38,"99",99,"NEST+M",NA,NA,"2018-19"
2018-03-27,"1",2,"April",29,"99",37,"99",99,NA,NA,NA,"2018-19"
2018-03-27,"2",2,"August",27,"98",42,"99",99,"Anderson, NEST",NA,NA,"2018-19"
2018-03-27,"2",13,"September",23,"98",42,"0.99",99,"Brooklyn PS9",NA,"Yep, Sister is there","2018-19"
2018-03-27,"2",13,"May",0.83,"99",42,"99",99,"NEST+M",NA,NA,"2018-19"
2018-03-27,"2",21,"October",26,"99",36,"99",99,"BSI, PS 215","PS 215","Yes","2018-19"
2018-02-14,"K",30,"October",24,"99",40,"99",99,"NEST,Q300,PS122,Ps85","NEST","YES","2018-19"
2018-03-27,"K",3,"September",24,"99",42,"99",99,"Anderson, NEST+M, 166, TAG, 163","NEST+M","Yes","2018-19"
2018-03-27,"K",21,"August",27,"98",45,"99",99,NA,NA,NA,"2018-19"
2018-03-27,"K",22,"December",27,"99",41,"99",99,NA,NA,NA,"2018-19"
2018-03-27,"K",25,"July",28,"99",43,"99",99,"NEST",NA,NA,"2018-19"
2018-03-27,"K",26,"November",25,"99",40,"99",99,"NEST+M",NA,NA,"2018-19"
2018-03-27,"K",27,"October",26,"99",43,"99",99,"Anderson,  PS188",NA,NA,"2018-19"
2018-03-27,"K",28,"September",27,"98",42,"99",99,"Q300, NEST+M",NA,"Have sib priority at Q300","2018-19"
2018-03-27,"K",28,"January",30,"99",44,"99",99,NA,NA,NA,"2018-19"
2018-03-28,"K",3,"March",26,"99",40,"99",99,NA,NA,NA,"2018-19"
2018-03-28,"K",24,"September",27,"98",41,"99",99,NA,NA,NA,"2018-19"
2018-03-28,"K",25,"October",24,"99",39,"99",99,"Q300, NEST",NA,NA,"2018-19"
2018-03-28,"Kindergarten",26,"11",24,"99",4,"99",99,"PS188",NA,NA,"2018-19"
2018-03-29,"K",11,"January",26,"99",48,"99",99,"Anderson TAG",NA,"TAG offered, will go","2018-19"
2018-03-29,"K",28,"February",28,"98",44,"99",99,NA,NA,NA,"2018-19"
2018-03-30,"K",15,"May",28,"99",46,"99",99,"NEST+M",NA,"Sibling priority","2018-19"
2018-04-01,"K",2,"July",27,"99",45,"99",99,"Anderson, TAG, NEST, q300","Anderson","Yes","2018-19"
2018-04-02,"K",28,"December",28,"99",42,"99",99,"NEST+M, otherwise stay at PS174Q G&T",NA,"Have 7th grade sib at NEST+M, so hope to get in!","2018-19"
2018-06-04,"K",3,"February",29,"99",42,"99",99,"Anderson, TAG",NA,"Currently in District 3 G&T, yes will switch","2018-19"
2018-04-11,"K",14,"January",25,"99",46,"99",99,"NEST+M, Andreson, district",NA,NA,"2018-19"
2018-04-16,"k",2,"August",26,"99",40,"99",99,"Anderson",NA,"yes","2018-19"
2018-04-17,"K",30,"2",25,"99",37,"98",99,"Q300, NEST, PS 150(district)",NA,NA,"2018-19"
2018-04-24,"k",13,"September",23,"98",37,"99",99,"Anderson, PS9 Brooklyn","PS9 Brooklyn","Yes","2018-19"
2018-06-01,"K",3,"May",26,"99",40,"99",99,"Anderson, TAG, 166, 163","TAG","Not sure.","2018-19"
2018-06-04,"K",17,"September",24,"99",36,"99",99,"Anderson, NEST, Q300","Anderson","Yes","2018-19"
2018-06-05,"K",2,"March",26,"99",47,"99",99,"Anderson, Nest, LL, PS11","Anderson","Yes","2018-19"
2018-06-05,"K",27,"November",27,"99",44,"99",99,"Nest, BSI, TAG, 30th Ave School","TAG","Unsure","2018-19"
2018-06-07,"K",30,"January",26,"99",37,"0.98",99,"NEST+M, Q300, PS166/PS150 (District)","PS 166","Yes","2018-19"
2018-03-27,"1",2,"January",24,"97",44,"99",98,"Nest, Anderson,LL, Tag, 11,33,130","33","Yes","2018-19"
2018-03-27,"1",2,"August",22,"97",37,"99",98,"TAG, lower lab",NA,NA,"2018-19"
2018-03-27,"1",2,"January",28,"99",36,"96",98,"BSI",NA,NA,"2018-19"
2018-03-27,"2",13,"August",23,"98",34,"98",98,"NEST+M","PS 9 Brooklyn G&T","NO","2018-19"
2018-03-27,"K",28,"March",26,"95",46,"99",98,"anderson",NA,NA,"2018-19"
2018-03-27,"K",29,"October",26,"97",43,"99",98,"NEST+m, PS11",NA,NA,"2018-19"
2018-03-27,"K",30,"January",27,"95",46,"99",98,"Q300",NA,NA,"2018-19"
2018-03-28,"K",2,"September",22,"97",44,"99",98,"LL, TAG",NA,NA,"2018-19"
2018-03-28,"K",2,"April",23,"96",40,"99",98,"LL, PS 198, PS 11, PS 33, PS130",NA,NA,"2018-19"
2018-03-29,"K",2,"July",21,"95",40,"99",98,"NEST+M, TAG",NA,"Yes, unlikely to get an offer though. =(","2018-19"
2018-04-06,"K",2,"March",24,"98",36,"98",98,NA,NA,"Maybe","2018-19"
2018-04-07,"K",14,"March",28,"97",45,"99",98,NA,NA,"Has anyone ever gotten into NEST+M or Anderson without a sibling with a 98?","2018-19"
2018-04-10,"K",3,"April",23,"96",40,"99",98,"Anderson or 166 but not expecting to get in",NA,NA,"2018-19"
2018-04-14,"K",2,"October",21,"97",37,"99",98,"NEST, Anderson, PS33",NA,"Yes","2018-19"
2018-04-14,"K",2,"October",25,"95",47,"99",98,NA,NA,NA,"2018-19"
2018-03-27,"K",14,"June",27,"94",41,"99",97,NA,NA,NA,"2018-19"
2018-03-27,"1",30,"May",25,"92",44,"99",97,"122","122","y","2018-19"
2018-03-28,"Kinder",2,"November",20,"96",31,"97",97,NA,"130",NA,"2018-19"
2018-03-28,"K",2,"January",26,"91",45,"99",97,"N/A stay district g&t",NA,NA,"2018-19"
2018-03-29,"K",1,"June",20,"90",41,"99",97,"Keeping her in PS42M.",NA,"Not enrolling in any G&T Schools.","2018-19"
2018-04-02,"K",28,"July",20,"91",36,"99",97,"NEST, PS174Q",NA,"Have 7th grade sibling at NEST so hope to get in!","2018-19"
2718-03-01,"k",30,"Febrauary",25,"91",43,"99",97,NA,NA,NA,"2018-19"
2018-03-27,"1",2,"May",20,"90",43,"99",96,NA,NA,NA,"2018-19"
2018-03-27,"K",15,"september",23,"88",46,"99",96,"Not sure",NA,NA,"2018-19"
2018-03-27,"K",15,"November",24,"90",44,"99",96,"None",NA,NA,"2018-19"
2018-03-27,"K",32,"August",26,"97",36,"94",96,"Anderson, NEST, TAG",NA,"maybe","2018-19"
2018-03-28,"Kindergarten",4,"April",28,"99",34,"86",96,"Already in PS 102m",NA,NA,"2018-19"
2018-03-28,"K",13,"May",24,"88",43,"99",96,NA,NA,"Missed the sib cut for citywide. Already in District G&T","2018-19"
2018-03-31,"K",3,"August",24,"87",47,"99",96,"Likely none",NA,NA,"2018-19"
2018-04-09,"K",2,"12",19,"93",31,"98",96,"LL",NA,"Yes","2018-19"
2018-06-05,"K",13,"April",20,"90",39,"99",96,"PS38","PS38","Yes (sibling is already in G&T in PS 38)","2018-19"
2018-03-27,"1",2,"April",18,"84",39,"99",95,NA,NA,NA,"2018-19"
2018-03-27,"1",2,"June",20,"0.91",34,"97",95,"Anderson/NEST only",NA,"Will not enroll if get PS 165/163. Maybe 166 but doubtful","2018-19"
2018-03-27,"first",2,"May",22,"94",34,"96",95,NA,NA,NA,"2018-19"
2018-03-27,"K",26,"September",24,"93",37,"96",95,"PS 188, PS 203",NA,"yes, if we get an offer","2018-19"
2018-03-28,"K",3,"November",16,"84",33,"99",95,"PS166, PS163",NA,"Yes, but I guess not likely to get offer","2018-19"
2018-03-27,"1",2,"February",22,"94",39,"99",94,"PS166",NA,NA,"2018-19"
2018-03-27,"1",2,"November",15,"79",35,"99",94,"PS33, PS11",NA,"Not sure","2018-19"
2018-03-27,"1",2,"February",23,"96",33,"92",94,"LL, PS 198, PS 130, PS 11, PS 33",NA,"Yes","2018-19"
2018-03-27,"K",20,"March",24,"79",44,"99",94,":-(",NA,NA,"2018-19"
2018-03-27,"K",20,"June",27,"99",26,"79",94,"No idea!","PS 205","No","2018-19"
2018-03-28,"K",2,"August",19,"90",32,"96",94,"Ps11, ps33",NA,NA,"2018-19"
2021-01-19,"K",6,"August",15,"75",33,"98",91,NA,NA,"No","2018-19"
2018-03-27,"1",2,"December",10,"48",31,"98",84,NA,NA,"Maybe","2018-19"
2018-03-27,"1",2,"July",19,"89",24,"0.71",81,":( maybe next year",NA,NA,"2018-19"
2018-03-27,"1",2,"August",13,"62",29,"91",79,NA,NA,NA,"2018-19"
